log_id,user_id,activity_date,device_type,minutes_streamed,ad_clicks_avoided,signup_date,plan_type,payment_method,status,cancellation_date
LOG_100192,USR_0016,2025-02-04,Desktop,20,2,2025-01-07,Individual,PayPal,Active,
LOG_100193,USR_0016,2025-02-08,Mobile,40,3,2025-01-07,Individual,PayPal,Active,
LOG_100194,USR_0016,2025-02-12,Mobile,31,3,2025-01-07,Individual,PayPal,Active,
LOG_100195,USR_0016,2025-02-16,Desktop,17,1,2025-01-07,Individual,PayPal,Active,
LOG_100196,USR_0016,2025-02-20,Mobile,29,4,2025-01-07,Individual,PayPal,Active,
LOG_100197,USR_0016,2025-02-24,Mobile,32,3,2025-01-07,Individual,PayPal,Active,
LOG_100198,USR_0016,2025-02-28,Mobile,250,3,2025-01-07,Individual,PayPal,Active,
LOG_100199,USR_0016,2025-03-04,Mobile,29,1,2025-01-07,Individual,PayPal,Active,
LOG_100200,USR_0016,2025-03-08,Desktop,88,2,2025-01-07,Individual,PayPal,Active,
LOG_100201,USR_0016,2025-03-12,Mobile,62,2,2025-01-07,Individual,PayPal,Active,
LOG_100202,USR_0016,2025-03-16,Mobile,24,3,2025-01-07,Individual,PayPal,Active,
LOG_100203,USR_0016,2025-03-20,Mobile,237,1,2025-01-07,Individual,PayPal,Active,
LOG_100204,USR_0016,2025-03-24,Mobile,6,3,2025-01-07,Individual,PayPal,Active,
LOG_100205,USR_0016,2025-03-28,TV,36,2,2025-01-07,Individual,PayPal,Active,
LOG_100206,USR_0016,2025-04-01,TV,32,5,2025-01-07,Individual,PayPal,Active,
LOG_100207,USR_0016,2025-04-05,Desktop,92,2,2025-01-07,Individual,PayPal,Active,
LOG_100208,USR_0016,2025-04-09,Mobile,28,4,2025-01-07,Individual,PayPal,Active,
LOG_100209,USR_0016,2025-04-13,Mobile,17,1,2025-01-07,Individual,PayPal,Active,
LOG_100210,USR_0016,2025-04-17,Mobile,41,2,2025-01-07,Individual,PayPal,Active,
LOG_100211,USR_0016,2025-04-21,Desktop,111,2,2025-01-07,Individual,PayPal,Active,
LOG_100212,USR_0016,2025-04-25,Desktop,7,2,2025-01-07,Individual,PayPal,Active,
LOG_100213,USR_0016,2025-04-29,Mobile,73,2,2025-01-07,Individual,PayPal,Active,
LOG_100214,USR_0016,2025-05-03,Mobile,113,3,2025-01-07,Individual,PayPal,Active,
LOG_100215,USR_0016,2025-05-07,Desktop,17,3,2025-01-07,Individual,PayPal,Active,
LOG_100216,USR_0016,2025-05-11,Mobile,71,5,2025-01-07,Individual,PayPal,Active,
LOG_100217,USR_0016,2025-05-15,Mobile,26,2,2025-01-07,Individual,PayPal,Active,
LOG_100218,USR_0016,2025-05-19,TV,13,5,2025-01-07,Individual,PayPal,Active,
LOG_100219,USR_0016,2025-05-23,Mobile,9,2,2025-01-07,Individual,PayPal,Active,
LOG_100220,USR_0016,2025-05-27,Mobile,145,2,2025-01-07,Individual,PayPal,Active,
LOG_100221,USR_0016,2025-05-31,Mobile,27,3,2025-01-07,Individual,PayPal,Active,
LOG_100222,USR_0016,2025-06-04,Desktop,26,3,2025-01-07,Individual,PayPal,Active,
LOG_100223,USR_0016,2025-06-08,Mobile,130,4,2025-01-07,Individual,PayPal,Active,
LOG_100224,USR_0016,2025-06-12,Mobile,21,2,2025-01-07,Individual,PayPal,Active,
LOG_100225,USR_0017,2025-01-07,TV,41,4,2025-01-07,Individual,Credit Card,Active,
LOG_100226,USR_0017,2025-01-11,Desktop,44,4,2025-01-07,Individual,Credit Card,Active,
LOG_100227,USR_0017,2025-01-15,Mobile,26,2,2025-01-07,Individual,Credit Card,Active,
LOG_100228,USR_0017,2025-01-19,Mobile,8,4,2025-01-07,Individual,Credit Card,Active,
LOG_100229,USR_0017,2025-01-23,Mobile,40,2,2025-01-07,Individual,Credit Card,Active,
LOG_100230,USR_0017,2025-01-27,TV,27,3,2025-01-07,Individual,Credit Card,Active,
LOG_100231,USR_0017,2025-01-31,Mobile,44,3,2025-01-07,Individual,Credit Card,Active,
LOG_100232,USR_0017,2025-02-04,Mobile,99,3,2025-01-07,Individual,Credit Card,Active,
LOG_100233,USR_0017,2025-02-08,Desktop,10,0,2025-01-07,Individual,Credit Card,Active,
LOG_100234,USR_0017,2025-02-12,Mobile,44,1,2025-01-07,Individual,Credit Card,Active,
LOG_100235,USR_0017,2025-02-16,Mobile,36,2,2025-01-07,Individual,Credit Card,Active,
LOG_100236,USR_0017,2025-02-20,Mobile,57,3,2025-01-07,Individual,Credit Card,Active,
LOG_100237,USR_0017,2025-02-24,Desktop,41,2,2025-01-07,Individual,Credit Card,Active,
LOG_100238,USR_0017,2025-02-28,TV,76,6,2025-01-07,Individual,Credit Card,Active,
LOG_100239,USR_0017,2025-03-04,TV,31,0,2025-01-07,Individual,Credit Card,Active,
LOG_100240,USR_0017,2025-03-08,Mobile,27,5,2025-01-07,Individual,Credit Card,Active,
LOG_100241,USR_0017,2025-03-12,Mobile,45,1,2025-01-07,Individual,Credit Card,Active,
LOG_100242,USR_0017,2025-03-16,Mobile,10,4,2025-01-07,Individual,Credit Card,Active,
LOG_100243,USR_0017,2025-03-20,Desktop,39,5,2025-01-07,Individual,Credit Card,Active,
LOG_100244,USR_0017,2025-03-24,Mobile,24,2,2025-01-07,Individual,Credit Card,Active,
LOG_100245,USR_0017,2025-03-28,TV,92,5,2025-01-07,Individual,Credit Card,Active,
LOG_100246,USR_0017,2025-04-01,Desktop,37,2,2025-01-07,Individual,Credit Card,Active,
LOG_100247,USR_0017,2025-04-05,TV,47,2,2025-01-07,Individual,Credit Card,Active,
LOG_100248,USR_0017,2025-04-09,Mobile,15,2,2025-01-07,Individual,Credit Card,Active,
LOG_100249,USR_0017,2025-04-13,TV,19,4,2025-01-07,Individual,Credit Card,Active,
LOG_100250,USR_0017,2025-04-17,Mobile,37,6,2025-01-07,Individual,Credit Card,Active,
LOG_100251,USR_0017,2025-04-21,TV,14,1,2025-01-07,Individual,Credit Card,Active,
LOG_100252,USR_0017,2025-04-25,TV,9,3,2025-01-07,Individual,Credit Card,Active,
LOG_100253,USR_0017,2025-04-29,Mobile,60,3,2025-01-07,Individual,Credit Card,Active,
LOG_100254,USR_0017,2025-05-03,Mobile,62,2,2025-01-07,Individual,Credit Card,Active,
LOG_100255,USR_0017,2025-05-07,Mobile,17,2,2025-01-07,Individual,Credit Card,Active,
LOG_100256,USR_0017,2025-05-11,TV,80,3,2025-01-07,Individual,Credit Card,Active,
LOG_100257,USR_0017,2025-05-15,Desktop,67,2,2025-01-07,Individual,Credit Card,Active,
LOG_100258,USR_0017,2025-05-19,Desktop,27,4,2025-01-07,Individual,Credit Card,Active,
LOG_100259,USR_0017,2025-05-23,Desktop,6,0,2025-01-07,Individual,Credit Card,Active,
LOG_100260,USR_0018,2025-01-08,TV,34,2,2025-01-08,Individual,Credit Card,Canceled,2025-06-04
LOG_100261,USR_0018,2025-01-12,Mobile,17,2,2025-01-08,Individual,Credit Card,Canceled,2025-06-04
LOG_100262,USR_0018,2025-01-16,Mobile,86,1,2025-01-08,Individual,Credit Card,Canceled,2025-06-04
LOG_100263,USR_0018,2025-01-20,Mobile,70,1,2025-01-08,Individual,Credit Card,Canceled,2025-06-04
LOG_100264,USR_0019,2025-01-08,TV,28,5,2025-01-08,Individual,PayPal,Active,
LOG_100265,USR_0019,2025-01-12,Mobile,27,4,2025-01-08,Individual,PayPal,Active,
LOG_100266,USR_0019,2025-01-16,Mobile,102,4,2025-01-08,Individual,PayPal,Active,
LOG_100267,USR_0019,2025-01-20,Mobile,20,4,2025-01-08,Individual,PayPal,Active,
LOG_100268,USR_0019,2025-01-24,Mobile,13,1,2025-01-08,Individual,PayPal,Active,
LOG_100269,USR_0019,2025-01-28,Mobile,13,2,2025-01-08,Individual,PayPal,Active,
LOG_100270,USR_0019,2025-02-01,Mobile,16,2,2025-01-08,Individual,PayPal,Active,
LOG_100271,USR_0019,2025-02-05,Desktop,66,3,2025-01-08,Individual,PayPal,Active,
