user_id,signup_date,plan_type,payment_method,status,cancellation_date
USR_0133,2025-02-26,Individual,Google Wallet,Active,
USR_0134,2025-02-26,Individual,PayPal,Active,
USR_0135,2025-02-26,Student,Credit Card,Active,
USR_0136,2025-02-27,Individual,PayPal,Active,
USR_0137,2025-02-27,Individual,Credit Card,Canceled,2025-04-13
USR_0138,2025-02-28,Family,Google Wallet,Active,
USR_0139,2025-02-28,Individual,Google Wallet,Active,
USR_0140,2025-02-28,Student,Credit Card,Active,
USR_0141,2025-03-01,Student,Google Wallet,Active,
USR_0142,2025-03-01,Individual,PayPal,Canceled,2025-06-28
USR_0143,2025-03-02,Individual,Credit Card,Active,
USR_0144,2025-03-02,Individual,Google Wallet,Active,
USR_0145,2025-03-03,Individual,Credit Card,Active,
USR_0146,2025-03-03,Individual,PayPal,Active,
USR_0147,2025-03-03,Individual,PayPal,Active,
USR_0148,2025-03-04,Individual,Google Wallet,Canceled,2025-04-21
USR_0149,2025-03-04,Individual,PayPal,Active,
USR_0150,2025-03-05,Individual,Credit Card,Active,
USR_0151,2025-03-05,Student,PayPal,Active,
USR_0152,2025-03-06,Individual,Credit Card,Canceled,2025-08-16
USR_0153,2025-03-06,Individual,Credit Card,Active,
USR_0154,2025-03-06,Individual,PayPal,Canceled,2025-07-21
USR_0155,2025-03-07,Student,Google Wallet,Active,
USR_0156,2025-03-07,Individual,PayPal,Active,
USR_0157,2025-03-08,Individual,Credit Card,Active,
USR_0158,2025-03-08,Family,Credit Card,Active,
USR_0159,2025-03-09,Individual,PayPal,Active,
USR_0160,2025-03-09,Family,Google Wallet,Canceled,2025-04-24
USR_0161,2025-03-09,Individual,Google Wallet,Active,
USR_0162,2025-03-10,Individual,Credit Card,Active,
USR_0163,2025-03-10,Individual,Credit Card,Active,
USR_0164,2025-03-11,Individual,Google Wallet,Canceled,2025-04-17
USR_0165,2025-03-11,Individual,PayPal,Canceled,2025-08-28
USR_0166,2025-03-12,Family,Credit Card,Active,
USR_0167,2025-03-12,Individual,Credit Card,Canceled,2025-04-18
USR_0168,2025-03-12,Individual,Google Wallet,Active,
USR_0169,2025-03-13,Individual,PayPal,Active,
USR_0170,2025-03-13,Individual,Google Wallet,Active,
USR_0171,2025-03-14,Individual,PayPal,Canceled,2025-05-21
USR_0172,2025-03-14,Individual,PayPal,Active,
USR_0173,2025-03-15,Individual,PayPal,Active,
USR_0174,2025-03-15,Individual,Credit Card,Active,
USR_0175,2025-03-15,Individual,Google Wallet,Canceled,2025-07-08
USR_0176,2025-03-16,Individual,Google Wallet,Active,
USR_0177,2025-03-16,Individual,PayPal,Active,
USR_0178,2025-03-17,Individual,Credit Card,Active,
USR_0179,2025-03-17,Student,Credit Card,Active,
USR_0180,2025-03-17,Individual,Google Wallet,Active,
USR_0181,2025-03-18,Individual,Credit Card,Canceled,2025-05-22
USR_0182,2025-03-18,Individual,Credit Card,Active,
USR_0183,2025-03-19,Student,PayPal,Active,
USR_0184,2025-03-19,Family,Credit Card,Active,
USR_0185,2025-03-20,Individual,PayPal,Canceled,2025-06-12
USR_0186,2025-03-20,Individual,Google Wallet,Active,
USR_0187,2025-03-20,Family,Credit Card,Active,
USR_0188,2025-03-21,Individual,Google Wallet,Canceled,2025-07-29
USR_0189,2025-03-21,Individual,Google Wallet,Canceled,2025-08-18
USR_0190,2025-03-22,Individual,Credit Card,Canceled,2025-07-22
USR_0191,2025-03-22,Individual,Credit Card,Canceled,2025-08-06
USR_0192,2025-03-23,Family,Google Wallet,Active,
USR_0193,2025-03-23,Student,Credit Card,Canceled,2025-05-01
USR_0194,2025-03-23,Individual,PayPal,Active,
USR_0195,2025-03-24,Individual,PayPal,Canceled,2025-05-26
USR_0196,2025-03-24,Individual,Credit Card,Active,
USR_0197,2025-03-25,Family,Google Wallet,Canceled,2025-07-21
USR_0198,2025-03-25,Family,Credit Card,Active,
USR_0199,2025-03-26,Family,Credit Card,Active,
USR_0200,2025-03-26,Family,Google Wallet,Active,
USR_0201,2025-03-26,Individual,Google Wallet,Canceled,2025-09-19
USR_0202,2025-03-27,Individual,PayPal,Canceled,2025-08-20
USR_0203,2025-03-27,Individual,Google Wallet,Active,
USR_0204,2025-03-28,Family,PayPal,Active,
USR_0205,2025-03-28,Individual,Google Wallet,Active,
USR_0206,2025-03-29,Individual,Credit Card,Active,
USR_0207,2025-03-29,Individual,PayPal,Canceled,2025-07-27
USR_0208,2025-03-29,Individual,PayPal,Active,
USR_0209,2025-03-30,Individual,PayPal,Active,
USR_0210,2025-03-30,Individual,Credit Card,Canceled,2025-05-16
USR_0211,2025-03-31,Individual,Credit Card,Active,
USR_0212,2025-03-31,Individual,Credit Card,Active,
USR_0213,2025-03-31,Individual,Credit Card,Active,
USR_0214,2025-04-01,Individual,Credit Card,Active,
USR_0215,2025-04-01,Family,PayPal,Active,
USR_0216,2025-04-02,Individual,Credit Card,Active,
USR_0217,2025-04-02,Individual,PayPal,Active,
USR_0218,2025-04-03,Family,Credit Card,Canceled,2025-06-29
USR_0219,2025-04-03,Individual,Google Wallet,Active,
USR_0220,2025-04-03,Family,PayPal,Canceled,2025-09-27
USR_0221,2025-04-04,Individual,Google Wallet,Active,
USR_0222,2025-04-04,Individual,PayPal,Active,
USR_0223,2025-04-05,Individual,Google Wallet,Active,
USR_0224,2025-04-05,Individual,Credit Card,Active,
USR_0225,2025-04-06,Individual,Credit Card,Active,
USR_0226,2025-04-06,Individual,Credit Card,Canceled,2025-08-18
USR_0227,2025-04-06,Student,PayPal,Active,
USR_0228,2025-04-07,Individual,Google Wallet,Active,
USR_0229,2025-04-07,Family,Credit Card,Canceled,2025-09-28
USR_0230,2025-04-08,Individual,Google Wallet,Active,
USR_0231,2025-04-08,Family,Google Wallet,Active,
USR_0232,2025-04-09,Individual,Credit Card,Active,
USR_0233,2025-04-09,Individual,Credit Card,Active,
USR_0234,2025-04-09,Individual,Google Wallet,Active,
USR_0235,2025-04-10,Individual,Credit Card,Active,
USR_0236,2025-04-10,Family,Credit Card,Canceled,2025-08-16
USR_0237,2025-04-11,Individual,Credit Card,Active,
USR_0238,2025-04-11,Individual,PayPal,Active,
USR_0239,2025-04-12,Individual,Google Wallet,Canceled,2025-09-03
USR_0240,2025-04-12,Individual,Google Wallet,Active,
USR_0241,2025-04-12,Student,PayPal,Active,
USR_0242,2025-04-13,Student,Google Wallet,Active,
USR_0243,2025-04-13,Student,Credit Card,Canceled,2025-07-22
USR_0244,2025-04-14,Individual,Google Wallet,Active,
USR_0245,2025-04-14,Individual,Credit Card,Active,
USR_0246,2025-04-14,Student,PayPal,Active,
USR_0247,2025-04-15,Individual,Credit Card,Active,
USR_0248,2025-04-15,Student,Google Wallet,Canceled,2025-06-06
USR_0249,2025-04-16,Student,Google Wallet,Canceled,2025-08-29
USR_0250,2025-04-16,Family,Google Wallet,Active,
USR_0251,2025-04-17,Individual,PayPal,Active,
USR_0252,2025-04-17,Individual,PayPal,Active,
USR_0253,2025-04-17,Family,Google Wallet,Canceled,2025-09-02
USR_0254,2025-04-18,Individual,Credit Card,Active,
USR_0255,2025-04-18,Individual,PayPal,Active,
USR_0256,2025-04-19,Individual,Google Wallet,Active,
USR_0257,2025-04-19,Student,Google Wallet,Active,
USR_0258,2025-04-20,Individual,PayPal,Active,
USR_0259,2025-04-20,Individual,PayPal,Active,
USR_0260,2025-04-20,Individual,PayPal,Active,
USR_0261,2025-04-21,Individual,Credit Card,Canceled,2025-07-27
USR_0262,2025-04-21,Student,Credit Card,Active,
USR_0263,2025-04-22,Individual,Google Wallet,Active,
USR_0264,2025-04-22,Individual,PayPal,Active,
USR_0265,2025-04-23,Family,Credit Card,Active,
USR_0266,2025-04-23,Family,PayPal,Active,
USR_0267,2025-04-23,Individual,Google Wallet,Active,
USR_0268,2025-04-24,Family,Credit Card,Active,
USR_0269,2025-04-24,Individual,Credit Card,Active,
USR_0270,2025-04-25,Individual,Credit Card,Active,
USR_0271,2025-04-25,Family,Google Wallet,Active,
USR_0272,2025-04-26,Family,PayPal,Canceled,2025-07-31
USR_0273,2025-04-26,Family,Credit Card,Active,
USR_0274,2025-04-26,Student,Google Wallet,Canceled,2025-09-18
USR_0275,2025-04-27,Individual,PayPal,Active,
USR_0276,2025-04-27,indivual_typo,Google Wallet,Active,
USR_0277,2025-04-28,Family,PayPal,Active,
USR_0278,2025-04-28,Individual,Google Wallet,Active,
USR_0279,2025-04-28,Family,PayPal,Canceled,2025-07-28
USR_0280,2025-04-29,Family,Credit Card,Active,
USR_0281,2025-04-29,Family,PayPal,Canceled,2025-07-21
USR_0282,2025-04-30,Individual,Google Wallet,Active,
USR_0283,2025-04-30,Individual,Google Wallet,Active,
USR_0284,2025-05-01,Individual,PayPal,Active,
USR_0285,2025-05-01,Individual,Credit Card,Active,
USR_0286,2025-05-01,Individual,Credit Card,Active,
USR_0287,2025-05-02,Individual,PayPal,Active,
USR_0288,2025-05-02,Individual,PayPal,Active,
USR_0289,2025-05-03,Individual,Google Wallet,Active,
USR_0290,2025-05-03,Individual,Credit Card,Active,
USR_0291,2025-05-04,Individual,PayPal,Canceled,2025-10-08
USR_0292,2025-05-04,Individual,Credit Card,Canceled,2025-08-27
USR_0293,2025-05-04,Family,PayPal,Active,
USR_0294,2025-05-05,Individual,PayPal,Active,
USR_0295,2025-05-05,Individual,Credit Card,Active,
USR_0296,2025-05-06,Individual,PayPal,Canceled,2025-10-23
USR_0297,2025-05-06,Family,PayPal,Active,
USR_0298,2025-05-07,Individual,Google Wallet,Active,
USR_0299,2025-05-07,Individual,PayPal,Canceled,2025-07-25
USR_0300,2025-05-07,Individual,PayPal,Active,
USR_0301,2025-05-08,Individual,PayPal,Active,
USR_0302,2025-05-08,Individual,Google Wallet,Active,
USR_0303,2025-05-09,Individual,Credit Card,Active,
USR_0304,2025-05-09,Individual,Google Wallet,Active,
USR_0305,2025-05-10,Family,Google Wallet,Active,
USR_0306,2025-05-10,Student,Credit Card,Active,
USR_0307,2025-05-10,Individual,Google Wallet,Active,
USR_0308,2025-05-11,Individual,Credit Card,Canceled,2025-07-18
USR_0309,2025-05-11,Family,Google Wallet,Active,
USR_0310,2025-05-12,Individual,Credit Card,Active,
USR_0311,2025-05-12,Individual,PayPal,Active,
USR_0312,2025-05-12,Individual,Google Wallet,Canceled,2025-11-06
USR_0313,2025-05-13,Individual,Google Wallet,Active,
USR_0314,2025-05-13,Student,Google Wallet,Active,
USR_0315,2025-05-14,Family,Google Wallet,Canceled,2025-07-13
USR_0316,2025-05-14,Individual,PayPal,Canceled,2025-07-14
USR_0317,2025-05-15,Individual,Google Wallet,Active,
USR_0318,2025-05-15,Individual,PayPal,Canceled,2025-10-30
USR_0319,2025-05-15,Individual,PayPal,Active,
USR_0320,2025-05-16,Individual,PayPal,Active,
USR_0321,2025-05-16,Individual,PayPal,Active,
USR_0322,2025-05-17,Family,Credit Card,Active,
USR_0323,2025-05-17,Individual,Credit Card,Active,
USR_0324,2025-05-18,Individual,Google Wallet,Active,
USR_0325,2025-05-18,Student,Credit Card,Active,
USR_0326,2025-05-18,Family,Credit Card,Active,
USR_0327,2025-05-19,Individual,Google Wallet,Canceled,2025-09-27
USR_0328,2025-05-19,Individual,Google Wallet,Active,
USR_0329,2025-05-20,Individual,Google Wallet,Active,
USR_0330,2025-05-20,Individual,Credit Card,Active,
USR_0331,2025-05-21,Individual,Credit Card,Canceled,2025-09-08
USR_0332,2025-05-21,Family,Google Wallet,Active,
USR_0333,2025-05-21,Individual,PayPal,Canceled,2025-09-15
USR_0334,2025-05-22,Individual,Google Wallet,Active,
USR_0335,2025-05-22,Individual,PayPal,Active,
USR_0336,2025-05-23,Individual,PayPal,Active,
USR_0337,2025-05-23,Family,Google Wallet,Active,
USR_0338,2025-05-24,Family,Google Wallet,Active,
USR_0339,2025-05-24,Individual,Google Wallet,Canceled,2025-10-22
USR_0340,2025-05-24,Individual,Credit Card,Active,
USR_0341,2025-05-25,Individual,PayPal,Active,
USR_0342,2025-05-25,Individual,Credit Card,Canceled,2025-09-12
USR_0343,2025-05-26,Individual,Credit Card,Active,
USR_0344,2025-05-26,Individual,Google Wallet,Canceled,2025-11-12
USR_0345,2025-05-27,Individual,Credit Card,Active,
USR_0346,2025-05-27,Individual,Google Wallet,Active,
USR_0347,2025-05-27,Individual,PayPal,Active,
USR_0348,2025-05-28,Individual,Google Wallet,Active,
USR_0349,2025-05-28,Individual,Credit Card,Canceled,2025-06-29
USR_0350,2025-05-29,Individual,Credit Card,Active,
USR_0351,2025-05-29,Individual,Google Wallet,Active,
USR_0352,2025-05-29,Family,Google Wallet,Active,
USR_0353,2025-05-30,Individual,Credit Card,Active,
USR_0354,2025-05-30,Individual,PayPal,Canceled,2025-10-18
USR_0355,2025-05-31,Individual,PayPal,Active,
USR_0356,2025-05-31,Individual,Google Wallet,Active,
USR_0357,2025-06-01,Individual,PayPal,Canceled,2025-09-19
USR_0358,2025-06-01,indivual_typo,Credit Card,Active,
USR_0359,2025-06-01,Student,Google Wallet,Canceled,2025-10-08
USR_0360,2025-06-02,Individual,Credit Card,Active,
USR_0361,2025-06-02,Individual,Credit Card,Active,
USR_0362,2025-06-03,Individual,PayPal,Active,
USR_0363,2025-06-03,Individual,Google Wallet,Active,
USR_0364,2025-06-04,indivual_typo,Google Wallet,Canceled,2025-10-24
USR_0365,2025-06-04,Student,PayPal,Active,
USR_0366,2025-06-04,Individual,Credit Card,Active,
USR_0367,2025-06-05,Student,Credit Card,Active,
USR_0368,2025-06-05,Student,Credit Card,Active,
USR_0369,2025-06-06,Individual,Credit Card,Active,
USR_0370,2025-06-06,Individual,Google Wallet,Canceled,2025-08-07
USR_0371,2025-06-07,Individual,Google Wallet,Active,
USR_0372,2025-06-07,Individual,PayPal,Active,
USR_0373,2025-06-07,Individual,PayPal,Active,
USR_0374,2025-06-08,Individual,Google Wallet,Active,
USR_0375,2025-06-08,Individual,Google Wallet,Active,
USR_0376,2025-06-09,Individual,Credit Card,Active,
USR_0377,2025-06-09,Family,Credit Card,Canceled,2025-09-29
USR_0378,2025-06-10,Individual,PayPal,Active,
USR_0379,2025-06-10,Family,Google Wallet,Active,
USR_0380,2025-06-10,Individual,PayPal,Active,
USR_0381,2025-06-11,Individual,Google Wallet,Canceled,2025-07-23
USR_0382,2025-06-11,Individual,Credit Card,Active,
USR_0383,2025-06-12,Individual,PayPal,Active,
USR_0384,2025-06-12,Family,PayPal,Active,
USR_0385,2025-06-12,Family,Google Wallet,Active,
USR_0386,2025-06-13,Family,Credit Card,Active,
USR_0387,2025-06-13,Individual,PayPal,Active,
USR_0388,2025-06-14,Individual,Credit Card,Active,
USR_0389,2025-06-14,Family,PayPal,Active,
USR_0390,2025-06-15,Family,Credit Card,Canceled,2025-07-16
USR_0391,2025-06-15,Student,Google Wallet,Canceled,2025-11-11
USR_0392,2025-06-15,Individual,PayPal,Active,
USR_0393,2025-06-16,Individual,PayPal,Active,
USR_0394,2025-06-16,Family,Credit Card,Active,
USR_0395,2025-06-17,Individual,Credit Card,Active,
USR_0396,2025-06-17,Student,PayPal,Active,
USR_0397,2025-06-18,Family,Google Wallet,Active,
USR_0398,2025-06-18,Individual,Credit Card,Active,
USR_0399,2025-06-18,Family,Credit Card,Canceled,2025-08-02
USR_0400,2025-06-19,Family,Credit Card,Active,
USR_0401,2025-06-19,Individual,PayPal,Active,
USR_0402,2025-06-20,Student,PayPal,Canceled,2025-11-20
USR_0403,2025-06-20,Individual,PayPal,Active,
USR_0404,2025-06-21,Family,PayPal,Active,
USR_0405,2025-06-21,Individual,Google Wallet,Active,
USR_0406,2025-06-21,Family,Google Wallet,Active,
USR_0407,2025-06-22,Individual,PayPal,Canceled,2025-10-04
USR_0408,2025-06-22,Individual,Google Wallet,Active,
USR_0409,2025-06-23,Student,Credit Card,Active,
USR_0410,2025-06-23,Individual,Credit Card,Canceled,2025-12-09
USR_0411,2025-06-24,Individual,Credit Card,Canceled,2025-12-15
USR_0412,2025-06-24,Student,PayPal,Canceled,2025-12-04
USR_0413,2025-06-24,Student,Credit Card,Active,
USR_0414,2025-06-25,Individual,Google Wallet,Active,
USR_0415,2025-06-25,Individual,PayPal,Canceled,2025-09-19
USR_0416,2025-06-26,Individual,Google Wallet,Canceled,2025-10-11
USR_0417,2025-06-26,Individual,Credit Card,Active,
USR_0418,2025-06-26,Individual,Credit Card,Active,
USR_0419,2025-06-27,Individual,Credit Card,Active,
USR_0420,2025-06-27,Family,PayPal,Canceled,2025-09-23
USR_0421,2025-06-28,Family,Google Wallet,Active,
USR_0422,2025-06-28,Family,PayPal,Active,
USR_0423,2025-06-29,Individual,PayPal,Active,
USR_0424,2025-06-29,Individual,Credit Card,Active,
USR_0425,2025-06-29,Individual,PayPal,Canceled,2025-08-16
USR_0426,2025-06-30,Individual,PayPal,Active,
USR_0427,2025-06-30,Individual,Credit Card,Canceled,2025-09-14
USR_0428,2025-07-01,Family,PayPal,Canceled,2025-09-01
USR_0429,2025-07-01,Individual,Credit Card,Active,
USR_0430,2025-07-02,Individual,Credit Card,Active,
USR_0431,2025-07-02,Individual,Credit Card,Active,
USR_0432,2025-07-02,Family,Credit Card,Canceled,2025-10-18
USR_0433,2025-07-03,Individual,PayPal,Active,
USR_0434,2025-07-03,Individual,Credit Card,Active,
USR_0435,2025-07-04,Individual,Credit Card,Canceled,2025-12-08
USR_0436,2025-07-04,Family,PayPal,Active,
USR_0437,2025-07-05,Individual,PayPal,Canceled,2025-12-29
USR_0438,2025-07-05,Family,Google Wallet,Active,
USR_0439,2025-07-05,Family,PayPal,Active,
USR_0440,2025-07-06,Individual,PayPal,Active,
USR_0441,2025-07-06,Individual,Google Wallet,Canceled,2025-10-06
USR_0442,2025-07-07,Student,PayPal,Active,
USR_0443,2025-07-07,Individual,PayPal,Canceled,2025-10-01
USR_0444,2025-07-08,Individual,PayPal,Canceled,2025-12-20
USR_0445,2025-07-08,Family,PayPal,Active,
USR_0446,2025-07-08,Student,Google Wallet,Canceled,2025-08-23
USR_0447,2025-07-09,Student,PayPal,Active,
USR_0448,2025-07-09,Family,PayPal,Active,
USR_0449,2025-07-10,Individual,Google Wallet,Active,
USR_0450,2025-07-10,Individual,Credit Card,Canceled,2025-10-16
USR_0451,2025-07-10,Family,Google Wallet,Active,
USR_0452,2025-07-11,Individual,Credit Card,Active,
USR_0453,2025-07-11,Individual,Google Wallet,Active,
USR_0454,2025-07-12,Student,Google Wallet,Active,
USR_0455,2025-07-12,Individual,PayPal,Active,
USR_0456,2025-07-13,Individual,Credit Card,Canceled,2025-11-17
USR_0457,2025-07-13,Individual,PayPal,Canceled,2025-11-08
USR_0458,2025-07-13,Individual,Credit Card,Active,
USR_0459,2025-07-14,Individual,Google Wallet,Canceled,2025-08-14
USR_0460,2025-07-14,Individual,Google Wallet,Active,
USR_0461,2025-07-15,Individual,Credit Card,Canceled,2025-09-06
USR_0462,2025-07-15,Individual,PayPal,Active,
USR_0463,2025-07-16,Family,PayPal,Active,
USR_0464,2025-07-16,Individual,PayPal,Active,
USR_0465,2025-07-16,Student,PayPal,Canceled,2025-09-03
USR_0466,2025-07-17,Individual,Google Wallet,Active,
USR_0467,2025-07-17,Individual,Google Wallet,Active,
USR_0468,2025-07-18,Family,Google Wallet,Active,
USR_0469,2025-07-18,Individual,Google Wallet,Active,
USR_0470,2025-07-19,Student,Google Wallet,Active,
USR_0471,2025-07-19,Individual,PayPal,Active,
USR_0472,2025-07-19,Student,PayPal,Canceled,2025-10-22
USR_0473,2025-07-20,Individual,PayPal,Active,
USR_0474,2025-07-20,Family,PayPal,Active,
USR_0475,2025-07-21,Individual,Google Wallet,Active,
USR_0476,2025-07-21,Student,Google Wallet,Canceled,2025-10-25
USR_0477,2025-07-22,Individual,Google Wallet,Canceled,2026-01-01
USR_0478,2025-07-22,Individual,Credit Card,Active,
USR_0479,2025-07-22,Student,PayPal,Active,
USR_0480,2025-07-23,Individual,PayPal,Active,
USR_0481,2025-07-23,Individual,Google Wallet,Active,
USR_0482,2025-07-24,Individual,PayPal,Canceled,2025-10-09
USR_0483,2025-07-24,Individual,PayPal,Active,
